# T.Toyama, Novel Photo Multiplier Tubes for the Cherenkov Telescope Array Project, 2013 ICRC
# Hamamatsu R11920-100-05
# wavelength[m]	pde[1]
220.812767862e-9  1.82826784061e-2
230.507612035e-9  3.80598662146e-2
242.294462804e-9  8.23804239195e-2
247.645879446e-9  10.4541775753e-2
251.908373545e-9  12.8288993666e-2
256.112006965e-9  17.1040852989e-2
259.263505767e-9  20.3500677511e-2
268.877416507e-9  24.9409247258e-2
277.399952176e-9  29.7695543143e-2
281.645278577e-9  32.6985781467e-2
290.204602169e-9  36.3394176472e-2
297.716696199e-9  38.7926816557e-2
300.941770848e-9  39.6630839316e-2
322.582880127e-9  40.9257681012e-2
346.394476906e-9  42.1088370724e-2
373.477746372e-9  42.657774208e-2
392.987608601e-9  42.7330974819e-2
406.042416476e-9  41.2259882156e-2
424.529574425e-9  39.3218759389e-2
438.675757371e-9  37.5769940588e-2
448.505490598e-9  35.1994825165e-2
458.332771296e-9  32.9011569802e-2
463.794551708e-9  31.5539218992e-2
479.049277424e-9  29.0169653642e-2
492.104085299e-9  27.5098560979e-2
500.837538397e-9  25.5284891813e-2
509.605326891e-9  22.4385181824e-2
515.103895228e-9  19.9034930134e-2
521.703648749e-9  16.813951207e-2
529.357989417e-9  14.6744268748e-2
541.358210145e-9  12.2173001343e-2
567.470278423e-9  9.12389559587e-2
589.219298945e-9  6.90239550697e-2
610.973224523e-9  4.52252340632e-2
632.717339988e-9  2.45939532916e-2
654.439382699e-9  1.10894130487e-2
690.243842621e-9  0.0724415531861e-2
